months,cases,temprature,rainfall,death,recovery
1,64724.00,20.17,21911.81,0.00,64724.00
2,54100.00,22.08,60572.26,2.00,54098.00
3,71497.00,23.27,230616.34,0.00,71497.00
4,58672.00,23.46,365920.91,41.00,58631.00
5,85634.00,23.42,436705.83,3.00,85631.00
6,128203.00,22.43,626479.18,8.00,128195.00
7,118489.00,21.81,681084.00,10.00,118479.00
8,163669.00,21.15,830756.61,13.00,163656.00
9,136690.00,21.82,545982.90,9.00,136681.00
10,175459.00,20.72,524449.03,5.00,175454.00
11,258013.00,20.62,319061.09,10.00,258003.00
12,163146.00,20.15,71108.80,10.00,163136.00
13,100822.00,20.32,61557.23,2.00,100820.00
14,101913.00,21.54,91413.36,9.00,101904.00
15,75941.00,22.75,264587.18,51.00,75890.00
16,65263.00,22.98,461379.15,15.00,65248.00
17,121117.00,23.27,509289.96,6.00,121111.00
18,133196.00,22.48,399620.90,8.00,133188.00
19,112971.00,21.09,682414.79,4.00,112967.00
20,143310.00,21.71,1020963.20,12.00,143298.00
21,112066.00,21.91,546443.97,3.00,112063.00
22,219843.00,22.13,375843.76,1.00,219842.00
23,158975.00,21.35,82951.27,2.00,158973.00
24,114352.00,20.72,33968.46,2.00,114350.00
25,114601.00,19.96,50885.22,11.00,114590.00
26,70924.00,21.34,76208.00,0.00,70924.00
27,70225.00,22.43,100102.36,0.00,70225.00
28,67523.00,23.85,437481.56,3.00,67520.00
29,120272.00,23.21,656369.20,1.00,120271.00
30,124739.00,23.27,341870.11,5.00,124734.00
31,148657.00,21.36,859913.45,3.00,148654.00
32,88464.00,22.13,681755.87,5.00,88459.00
33,99443.00,22.42,524104.43,6.00,99437.00
34,170843.00,21.97,398689.79,9.00,170834.00
35,159455.00,21.30,84801.63,7.00,159448.00
36,120008.00,20.11,39246.96,7.00,120001.00
37,114109.00,20.72,116822.15,5.00,114104.00
38,80712.00,21.99,60296.98,5.00,80707.00
39,96829.00,23.17,137091.42,6.00,96823.00
40,147985.00,23.79,406745.85,13.00,147972.00
41,196930.00,23.98,280048.68,32.00,196898.00
42,266968.00,22.60,452189.64,60.00,266908.00
43,279944.00,21.57,734347.99,47.00,279897.00
44,177979.00,20.28,678849.64,21.00,177958.00
45,190757.00,22.14,492945.29,27.00,190730.00
46,387019.00,22.01,451602.70,38.00,386981.00
47,390088.00,21.18,102255.88,32.00,390056.00
48,315968.00,20.65,59850.11,11.00,315957.00
49,262317.00,20.56,48335.95,6.00,262311.00
50,171170.00,22.05,45448.87,12.00,171158.00
51,156917.00,22.27,467241.82,9.00,156908.00
52,216007.00,22.46,619142.94,25.00,215982.00
53,310258.00,23.03,504911.44,53.00,310205.00
54,368914.00,22.88,463080.68,67.00,368847.00
55,442127.00,22.13,820052.33,50.00,442077.00
56,351492.00,22.07,588751.59,51.00,351441.00
57,463951.00,22.63,730572.68,56.00,463895.00
58,474861.00,21.59,474926.47,62.00,474799.00
59,499136.00,19.97,334849.72,57.00,499079.00
60,450339.00,19.82,40285.07,58.00,450281.00
61,424655.00,21.00,70499.02,105.00,424550.00
62,357214.00,22.66,148744.83,62.00,357152.00
63,399336.00,23.64,340752.23,47.00,399289.00
64,344319.00,23.31,513185.24,40.00,344279.00
65,453497.00,23.41,440724.91,77.00,453420.00
66,1014604.00,23.09,565385.52,278.00,1014326.00
67,1174821.00,22.90,891878.87,221.00,1174600.00
68,1266644.00,21.73,1067245.19,136.00,1266508.00
69,896095.00,23.00,475672.37,65.00,896030.00
70,1312467.00,22.48,496882.50,120.00,1312347.00
71,1639185.00,21.89,185714.37,104.00,1639081.00
72,1036131.00,20.91,19664.63,68.00,1036063.00
