"time","S","V1","V2","E","Ev","I1","I2","I3","I4","Ia","Rc","Rcp","Ra","BH","BL","CDc","CInc","CRD","CRInc","temperature","rainfall","n","beta_e","beta_e0","lam_e","lam_h","u","P","rho1.rho1","rho2.rho2","HYG","SAN","CWA","e_inc","h_inc","I","R"
1,17699973,0,0,13,0,4,5,2,3,0,0,0,0,100,100,0,0,0,0,20.9312351237843,124495.505695612,0.110532406312071,2.1450872092188e-05,0.00019,2.14506575856122e-10,3.05858987090367e-08,4520300000,17700000,0,0,1,1,1,0.00379676060097581,0.541369581330685,14,0
2,17699643.922931,0,0,276.515269580381,0,4.04873161846557,6.61518722185512,12.268620227663,2.39795379443367,36.6648467030794,4.94927929152053,0.000718820956926492,12.5025226570745,2780586134.50057,146954658.615145,0.113939101262763,329.101312517068,0.039878685441967,2.62948642099831,20.9404886795163,122171.463194137,0.112450542864553,2.0098602485992e-05,0.00019,1.88180669056322e-05,4.39997739439928e-06,4836842822.97746,17699999.8860609,0,0,1,1,1,333.073083547581,77.8780331498129,61.9953395654967,17.4525207695519
3,17699234.6930132,0,0,489.666633017531,0,6.2899352072648,13.3147856369256,39.6480917234845,6.65195745269561,110.655601635321,13.2865115261474,0.00318440471213374,85.5116430913084,5164299279.97737,471956773.835894,0.278643102039083,738.591529693211,0.0975250857136792,6.91238333016499,20.9500619265633,119936.3656725,0.114434947089128,1.87980864913505e-05,0.00019,1.84080497180994e-05,4.39998782855803e-06,8029625444.10101,17699999.7213569,0,0,1,1,1,325.808392201296,77.8764172240502,176.560371655692,98.8013390221679
4,17698840.7871045,0,0,607.052869753195,0,9.25182335749536,21.5596782061882,71.7495129221689,14.7372968092847,174.45249187329,30.9627874729445,0.00929370425032054,228.893894216696,8479845154.02606,988562468.755648,0.543247217917453,1133.38013677657,0.190136526271109,14.2111238929927,20.9599519488216,117790.893963057,0.116485014517045,1.7549720258034e-05,0.00019,1.73739704095553e-05,4.39999258747821e-06,12144205286.2041,17699999.4567528,0,0,1,1,1,307.499136118583,77.8747682702167,291.750803168427,259.865975393891
5,17698467.1072669,0,0,663.049509212177,0,12.076123725595,29.2811906193549,101.360350723019,24.2496882503872,216.713131851344,60.7782074096243,0.0222214297538366,424.447126941279,12258803503.2346,1719056208.84443,0.91518297786444,1508.90972376642,0.320314042252554,24.7064659508997,20.9701557336946,115735.701597275,0.118600120677907,1.63538840504902e-05,0.00019,1.62593013297733e-05,4.39999487249554e-06,16041942576.7709,17699999.084817,0,0,1,1,1,287.764709772134,77.8731645230052,383.6804851697,485.247555780657
6,17698114.3477494,0,0,681.496152620335,0,14.3941048144242,35.6011098149883,125.478866109648,33.3412888234474,239.988820975544,102.762969691167,0.0455226693616605,651.162124775641,15867643226.6149,2618544388.33602,1.38129030293726,1864.71538094497,0.48345160602804,37.9966623818427,20.9806701730106,113771.414606656,0.120779621289886,1.52109421320123e-05,0.00019,1.51530738220857e-05,4.39999603866275e-06,19236337467.9995,17699998.6187097,0,0,1,1,1,268.180833223161,77.8716330218977,448.804190538052,753.97061713617
7,17697782.2038131,0,0,677.520942819997,0,16.1028676706444,40.289156876902,143.387938295719,41.0059383726258,249.60315668664,155.316385394479,0.0824965880169333,892.566544996127,18907941576.5354,3598205162.41961,1.9207591868646,2201.22585392987,0.672265715402609,53.4654859743261,20.9914920639695,111898.631332048,0.123022852455985,1.41212426537807e-05,0.00019,1.40821061800545e-05,4.39999667562463e-06,21594723650.7978,17699998.0792408,0,0,1,1,1,249.222048145575,77.8701828627063,490.389057902531,1047.96542697862
8,17697469.9951564,0,0,660.52501957763,0,17.2298213385898,43.4326603076477,155.482448599556,46.8736217961061,250.260913816844,216.149678773421,0.135860381019102,1137.40297190465,21219831934.0351,4561892894.5605,2.51184706621066,2519.16876623867,0.879146473173731,70.4733459996412,21.0026181101184,110117.922241378,0.125329130866257,1.30851175488125e-05,0.00019,1.30564967612075e-05,4.39999703781346e-06,23157625308.9114,17699997.4881529,0,0,1,1,1,231.066959673327,77.8688155554809,513.279465858744,1353.68851105909
9,17697176.8711452,0,0,636.30137317116,0,17.857159205957,45.251795215482,162.614391998944,50.9554891020735,245.39074337475,282.878676793053,0.207644622447771,1378.53659790278,22800498725.1708,5431853924.26261,3.13498337186975,2819.39162498644,1.09724418015441,88.4455585027432,21.014044922356,108429.829755884,0.127697754005958,1.21028824308519e-05,0.00019,1.20806420646103e-05,4.3999972431698e-06,24038117270.7423,17699996.8650166,0,0,1,1,1,213.793259334406,77.8675294449274,522.069578897206,1661.62291931829
10,17696901.8948159,0,0,608.405630824823,0,18.0822387017728,46.0023325513897,165.749226328352,53.4531142480054,237.297659114291,353.335049514927,0.299216686805398,1611.7068050249,23729517796.6899,6159669603.31409,3.77391105560345,3102.79717747492,1.32086886946121,106.904661508708,21.0257690199645,106834.868084891,0.130128000369536,1.11748364982309e-05,0.00019,1.11567239618769e-05,4.39999735110062e-06,24369039297.5315,17699996.2260889,0,0,1,1,1,197.439449420877,77.8663214598777,520.584570943812,1965.34107122664
11,17696644.0822685,0,0,579.016695821488,0,17.99839699868,45.9284109151373,165.800015272914,54.639429636707,227.469635240089,425.695681351189,0.411365475085339,1834.54226984937,24118834296.7967,6725678606.02759,4.41583095299752,3370.31711098401,1.54554083354913,125.474272693395,21.0377868316703,105333.523069174,0.132619129680405,1.03012624427308e-05,0.00019,1.02859688649857e-05,4.39999739385806e-06,24277449149.4105,17699995.584169,0,0,1,1,1,182.027130044947,77.865187842015,511.835888063527,2260.64931667564
12,17696402.4229406,0,0,549.469199928025,0,17.6869647747553,45.2428407667612,163.559292810205,54.7930730049363,216.846150002285,498.508284261518,0.544406956292395,2045.87575883385,24084212023.5884,7132169172.29317,5.05108809504186,3622.90024149732,1.76788083326465,143.869862445615,21.0500946967314,103926.252032969,0.135170383116443,9.48242636347141e-06,0.00019,9.46914968780786e-06,4.3999973901116e-06,23874005701.8342,17699994.9489119,0,0,1,1,1,167.56988347851,77.8641244753031,498.128321358942,2544.92845005166
13,17696175.8907958,0,0,520.581354079884,0,17.2150680955697,44.1217113222979,159.681556920869,54.1666331051934,206.013000468978,570.66520284205,0.698288505591846,2245.29369709911,23731113431.8905,7395006023.68492,5.67269177165168,3861.50667394296,1.98544212007809,161.884777767054,21.062688866053,102613.483644667,0.137780983541142,8.71857768585469e-06,0.00019,8.70680378903682e-06,4.39999735127873e-06,23250072760.3656,17699994.3273082,0,0,1,1,1,154.077131297443,77.8631270472639,481.197969912907,2816.65718844675
14,17695963.4508068,0,0,492.855762721735,0,16.6362349125989,42.7059686714562,154.690311197698,52.9746254812116,195.333104498549,641.355629253045,0.872682019700051,2432.84906074279,23149202175.6742,7536436050.6341,6.2758136704929,4087.10464836105,2.19653478467251,179.375648118595,21.0755655033291,101395.617786235,0.140450135740322,8.00994908558746e-06,0.00019,7.99933487110019e-06,4.39999728469674e-06,22478565664.7194,17699993.7241863,0,0,1,1,1,141.555937509753,77.8621911336428,462.340244761514,3075.07737201554
15,17695764.0628652,0,0,466.602133605329,0,15.9921601181147,41.1058992195774,148.995205605535,51.3919712504227,185.030669290558,710.012971520846,1.06706216037139,2608.88173021799,22411506578.3866,7580091154.03289,6.8573317962782,4300.66868303464,2.40006612869737,196.249115952292,21.0887206862111,100273.025431411,0.143177026664366,7.35675641780597e-06,0.00019,7.34706383800882e-06,4.39999719532007e-06,21616344360.1819,17699993.1426682,0,0,1,1,1,130.011908232213,77.8613122456525,442.515905484207,3319.96176389921
16,17695576.6842382,0,0,442.012274604184,0,15.3147818056279,39.4064106311214,142.911803480596,49.5574521988331,175.244222595022,776.26554876766,1.2807697188368,2773.90705369617,21575814255.821,7548084876.39125,7.41544427461078,4503.17837761205,2.59540549611377,212.450586740528,21.102150407503,99246.0485327028,0.145960825675883,6.75919865132446e-06,0.00019,6.75025564689692e-06,4.39999708668695e-06,20707021071.0254,17699992.5845557,0,0,1,1,1,119.449666437877,77.8604858578937,422.434670711201,3551.45337218266
17,17695400.2711771,0,0,419.205844586267,0,14.6282663874819,37.6721003415219,136.680410094175,47.5790787987723,166.059549500904,839.893956831473,1.5130616417261,2928.5471987628,20686936318.7929,7459666115.64701,7.94935598312322,4695.61757362795,2.78227459409313,227.955085755953,21.1158505763816,98314.9999172206,0.148800684802726,6.21745780802719e-06,0.00019,6.20913419929855e-06,4.39999696150757e-06,19783644385.4058,17699992.050644,0,0,1,1,1,109.873114994042,77.8597074258392,402.619405122856,3769.954217236
